"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"Narrabri"	"21 Droubalgie St"	3	"House"	8888	"https://www.realestate.com.au/126763062"	un_known
"Narraweena"	"120 Warringah Rd"	3	"House"	1400000	"https://www.realestate.com.au/126651286"	14.5
"Neutral Bay"	"18 Phillips St"	5	"House"		"https://www.realestate.com.au/126844782"	4.2
"Neutral Bay"	"13/103 Wycombe Rd"	2	"Unit"	1135000	"https://www.realestate.com.au/126810090"	4.2
"Neutral Bay"	"26 Darley St"	3	"House"		"https://www.realestate.com.au/126853426"	4.2
"Neutral Bay"	"206/29 Yeo St"	2	"Unit"	1055000	"https://www.realestate.com.au/126862290"	4.2
"Neutral Bay"	"8/136 Wycombe Rd"	1	"Unit"	780000	"https://www.realestate.com.au/126853678"	4.2
"Neutral Bay"	"13/83 Bent St"	2	"Unit"		"https://www.realestate.com.au/126849394"	4.2
"Neutral Bay"	"3/98 Kurraba Rd"	3	"Unit"		"https://www.realestate.com.au/126863722"	4.2
"New Lambton"	"140 St James Rd"	4	"House"		"https://www.realestate.com.au/126821394"	un_known
"Newcastle West"	"808/25 Bellevue St"	2	"Unit"	524000	"https://www.realestate.com.au/126761190"	un_known
"Newington"	"11 Evans St"	3	"House"	1400000	"https://www.realestate.com.au/126761862"	14.4
"Newport"	"16 Wallumatta Rd"	4	"House"		"https://www.realestate.com.au/126824770"	24.9
"Newtown"	"25 Laura St"	3	"House"		"https://www.realestate.com.au/126780930"	4.1
"Newtown"	"28 Station St"	3	"House"		"https://www.realestate.com.au/126747626"	4.1
"Newtown"	"74 Dickson St"	2	"House"		"https://www.realestate.com.au/126786698"	4.1
"Newtown"	"11 Wells St"	4	"House"	1850000	"https://www.realestate.com.au/126837490"	4.1
"Newtown"	"15/20 Fitzgerald St"	1	"Unit"	765000	"https://www.realestate.com.au/126812710"	4.1
"Newtown"	"68 Oconnell St"	2	"House"	2475000	"https://www.realestate.com.au/126775234"	4.1
"North Balgowlah"	"39 Worrobil St"	4	"House"		"https://www.realestate.com.au/126699574"	9.8
"North Balgowlah"	"14 Urunga St"	3	"House"	1650000	"https://www.realestate.com.au/126788934"	9.8
"North Bondi"	"54 Wallis Pde"	4	"House"		"https://www.realestate.com.au/126864538"	7
"North Bondi"	"18 Murriverie Rd"	3	"House"		""	7
"North Bondi"	"85 Blair St"	3	"House"		"https://www.realestate.com.au/126792058"	7
"North Bondi"	"39 Wairoa Av"	4	"House"		""	7
"North Bondi"	"37A Midelton Av"	4	"House"	3000000	"https://www.realestate.com.au/126731902"	7
"North Bondi"	"29 Stewart St"	4	"House"		"https://www.realestate.com.au/126828750"	7
"North Epping"	"77 Devon St"	4	"House"		"https://www.realestate.com.au/126838402"	16.3
"North Epping"	"12 Durham St"	3	"House"		"https://www.realestate.com.au/126824566"	16.3
"North Gosford"	"403 Mann St"	6	"House"		"https://www.realestate.com.au/126882366"	un_known
"North Narrabeen"	"20 Grenfell Av"	4	"House"		"https://www.realestate.com.au/126825714"	20
"North Parramatta"	"4/473 Church St"	2	"Unit"		"https://www.realestate.com.au/126844150"	19.7
"North Parramatta"	"27/44 Isabella St"	3	"Unit"		"https://www.realestate.com.au/126815074"	19.7
"North Ryde"	"5/25 Magdala Rd"	2	"Unit"	1220000	"https://www.realestate.com.au/126831742"	10.9
"North St Marys"	"11 Wattle Av"	4	"House"	561000	"https://www.realestate.com.au/126808494"	40.9
"North Strathfield"	"4/167 Parramatta Rd"	2	"Unit"		"https://www.realestate.com.au/126858950"	10.7
"North Strathfield"	"59/2A Hamilton St"	2	"Unit"		"https://www.realestate.com.au/126789086"	10.7
"North Strathfield"	"4/23A George St"	2	"Unit"		"https://www.realestate.com.au/126708922"	10.7
"North Sydney"	"20/171 Walker St"	3	"Unit"		"https://www.realestate.com.au/126862294"	11.8
"North Sydney"	"403/28 West St"	2	"Unit"		"https://www.realestate.com.au/126863726"	11.8
"North Tamworth"	"21 Conimbla Cr"	4	"House"		"https://www.realestate.com.au/126753714"	un_known
"North Turramurra"	"9 Mcrae Pl"	5	"House"	2160000	""	18
"North Turramurra"	"242 Bobbin Head Rd"	5	"House"		"https://www.realestate.com.au/126795902"	18
"North Turramurra"	"4 Hartley Cl"	4	"House"		"https://www.realestate.com.au/126791438"	18
"North Wahroonga"	"1 Uralba Pl"	4	"House"	1450000	"https://www.realestate.com.au/126725078"	19.9
"Northbridge"	"33 Weemala Rd"	5	"House"		"https://www.realestate.com.au/126795882"	6.3
"Northbridge"	"45 Strathallen Av"	4	"House"		"https://www.realestate.com.au/126855890"	6.3
"Northbridge"	"13 Strathallen Av"	4	"House"		"https://www.realestate.com.au/126710622"	6.3
"Northmead"	"4/69 Hammers Rd"	3	"Unit"	835000	"https://www.realestate.com.au/126825850"	21.7
"Northmead"	"45 Centenary Av"	5	"House"	1200000	"https://www.realestate.com.au/126821402"	21.7
"O'connell"	"1935 Oconnell Rd"	5	"House"		"https://www.realestate.com.au/7928638"	un_known
"Oatlands"	"9/49 Bettington Rd"	2	"Unit"	800000	"https://www.realestate.com.au/126826514"	18.5
"Oatlands"	"40 Greens Av"	4	"House"	1430000	"https://www.realestate.com.au/126798962"	18.5
"Oatley"	"5/33 Letitia St"	2	"Unit"		"https://www.realestate.com.au/126795874"	17.2
"Oberon"	"193 Ferndale Rd"	4	"House"		"https://www.realestate.com.au/7928666"	un_known
"Ourimbah"	"16 Cambridge Cir"	3	"House"	380000	""	un_known
"Oyster Bay"	"64 Caravan Head Rd"	3	"House"	905000	"https://www.realestate.com.au/126845446"	19.4
"Oyster Bay"	"86 Green Point Rd"	3	"House"	980000	"https://www.realestate.com.au/126846694"	19.4
"Paddington"	"43 Gipps St"	2	"House"		"https://www.realestate.com.au/126782426"	2.7
"Paddington"	"406/357 Glenmore Rd"	2	"Unit"		"https://www.realestate.com.au/126817826"	2.7
"Padstow"	"4 School Pde"	5	"House"	1085000	"https://www.realestate.com.au/126905986"	18.3
"Padstow"	"7/78 Cahors Rd"	3	"Unit"		"https://www.realestate.com.au/126870650"	18.3
"Padstow Heights"	"16 Raftree St"	5	"House"		""	19.9
"Palm Beach"	"782 Barrenjoey Rd"	4	"House"		"https://www.realestate.com.au/126859314"	31.1
"Panania"	"41 Clifford St"	3	"House"	870500	"https://www.realestate.com.au/126811254"	21.7
"Parramatta"	"4 Wandsworth St"	2	"House"	910000	"https://www.realestate.com.au/126822874"	19.6
"Parramatta"	"323/22 Charles St"	2	"Unit"		"https://www.realestate.com.au/126840570"	19.6
"Parramatta"	"1506/36 Cowper St"	2	"Unit"		"https://www.realestate.com.au/126855154"	19.6
"Parramatta"	"15 Pemberton La"	3	"House"		"https://www.realestate.com.au/126798530"	19.6
"Pemulwuy"	"28 Dullai Av"	5	"House"	1305000	"https://www.realestate.com.au/126896910"	27
"Pennant Hills"	"108 Boundary Rd"	5	"House"	1450000	""	19
"Penrith"	"58 Illawong Av"	7	"House"		"https://www.realestate.com.au/126807258"	49.2
"Penshurst"	"12/11 Cambridge St"	2	"Unit"		"https://www.realestate.com.au/126810934"	15.4
"Petersham"	"68 Westbourne St"	2	"House"		"https://www.realestate.com.au/126772622"	5.9
"Petersham"	"270 Stanmore Rd"	2	"House"		"https://www.realestate.com.au/126839902"	5.9
"Point Piper"	"2/2A Wentworth St"	2	"Unit"	1400000	"https://www.realestate.com.au/126824738"	4.2
"Port Macquarie"	"13 Talofa Cr"	4	"House"		"https://www.realestate.com.au/126802374"	391
"Potts Point"	"2/101A Victoria St"	2	"Unit"		"https://www.realestate.com.au/126812642"	1.7
"Prestons"	"25 Geraldton St"	4	"House"	862500	"https://www.realestate.com.au/126826210"	32
"Punchbowl"	"982 Punchbowl Rd"	4	"House"	1012000	"https://www.realestate.com.au/126875226"	15.5
"Putney"	"27 Osborne Av"	5	"House"	3075000	"https://www.realestate.com.au/126800998"	9.9
"Pymble"	"80 Livingstone Av"	5	"House"		"https://www.realestate.com.au/126815830"	15
"Pymble"	"14 Albion Av"	3	"House"		"https://www.realestate.com.au/126842186"	15
"Pyrmont"	"103/313 Harris St"	1	"Unit"		"https://www.realestate.com.au/126756450"	1.3
"Pyrmont"	"702/135 Point St"	3	"Unit"		"https://www.realestate.com.au/126846386"	1.3
"Pyrmont"	"608/320 Harris St"	3	"Unit"		""	1.3
"Quakers Hill"	"12/6 Blossom Pl"	3	"Unit"		"https://www.realestate.com.au/126875230"	33.8
"Queanbeyan West"	"93 Tharwa Rd"	3	"House"	474000	"https://www.realestate.com.au/126765458"	un_known
"Queens Park"	"22 Isabella St"	4	"House"		"https://www.realestate.com.au/126784498"	5.5
"Queens Park"	"4 Queens Park Rd"	2	"House"		"https://www.realestate.com.au/126799494"	5.5
"Queens Park"	"3/5 Henry St"	2	"Unit"	1030000	"https://www.realestate.com.au/126790858"	5.5
"Queenscliff"	"16/7 Queenscliff Rd"	2	"Unit"		"https://www.realestate.com.au/126786030"	11.8
"Ramsgate Beach"	"1/24 Alfred St"	3	"Unit"	1077000	"https://www.realestate.com.au/126810358"	13.8
"Ramsgate Beach"	"2/93 Alfred St"	2	"Unit"	755000	"https://www.realestate.com.au/126812722"	13.8
"Randwick"	"66/244 Alison Rd"	2	"Unit"		"https://www.realestate.com.au/126710898"	6
"Randwick"	"6/15 Park Av"	2	"Unit"	990000	"https://www.realestate.com.au/126741570"	6
"Randwick"	"11A Titania St"	3	"House"	2635000	"https://www.realestate.com.au/126824038"	6
"Randwick"	"12/25 Prince St"	2	"Unit"	875000	"https://www.realestate.com.au/126849506"	6
"Randwick"	"6/2A Frenchmans Rd"	3	"Unit"		"https://www.realestate.com.au/126821266"	6
"Randwick"	"13 Kemmis St"	3	"House"	1650000	"https://www.realestate.com.au/126849386"	6
"Randwick"	"4 Judge St"	4	"House"	2710000	"https://www.realestate.com.au/126760634"	6
"Randwick"	"9/21 Pine St"	2	"Unit"	975000	"https://www.realestate.com.au/126834838"	6
"Randwick"	"36 Canberra St"	4	"House"	2225000	"https://www.realestate.com.au/126781518"	6
"Redfern"	"98 Pitt St"	3	"House"		"https://www.realestate.com.au/502606186"	2.9
"Redfern"	"68 Hugo St"	3	"Unit"		"https://www.realestate.com.au/126857362"	2.9
"Regents Park"	"37 Lewis St"	4	"House"	910000	"https://www.realestate.com.au/126856118"	17
"Regents Park"	"45 Kibo Rd"	3	"House"	975000	"https://www.realestate.com.au/126674362"	17
"Revesby"	"30 Glenview Av"	3	"House"	1190000	"https://www.realestate.com.au/126804406"	19.9
"Revesby Heights"	"58A Alamein Rd"	4	"House"	1035000	"https://www.realestate.com.au/126859806"	21
"Revesby Heights"	"2C Alamein Rd"	5	"House"		"https://www.realestate.com.au/126772450"	21
"Rhodes"	"802/80 Rider Bvd"	3	"Unit"	1710000	"https://www.realestate.com.au/126709454"	11.7
"Riverview"	"108 Tambourine Bay Rd"	7	"House"		"https://www.realestate.com.au/126851966"	6.4
"Riverwood"	"24A Coorabin Pl"	4	"House"		"https://www.realestate.com.au/126798942"	17
"Rockdale"	"71 Bay St"	3	"House"		"https://www.realestate.com.au/126775022"	11.5
"Rose Bay"	"5/5 Elanora St"	2	"Unit"	1280000	"https://www.realestate.com.au/126736086"	5.7
"Rose Bay"	"6/37 The Avenue"	2	"Unit"		""	5.7
"Rosebery"	"46 Dougherty St"	4	"House"	1420000	"https://www.realestate.com.au/126835066"	5.9
"Rosehill"	"8/77 Virginia St"	2	"Unit"		"https://www.realestate.com.au/126778750"	17.7
"Roseville"	"29 Shirley Rd"	5	"House"		"https://www.realestate.com.au/126837910"	9.6
"Roseville"	"16 Carnarvon Rd"	4	"House"		"https://www.realestate.com.au/125979554"	9.6
"Rozelle"	"8 Albert St"	2	"House"		"https://www.realestate.com.au/126718254"	3.4
"Russell Lea"	"9 Speed Av"	4	"House"		"https://www.realestate.com.au/126867546"	6.2
"Russell Lea"	"5 Potter St"	3	"House"	1580000	"https://www.realestate.com.au/126808438"	6.2
"Rydalmere"	"33 Calder Rd"	4	"House"	1470000	"https://www.realestate.com.au/126813194"	16.4
"Rydalmere"	"66 Kirby St"	4	"House"		"https://www.realestate.com.au/126864378"	16.4
"Ryde"	"86 Bowden St"	3	"House"	1881000	"https://www.realestate.com.au/126843482"	11.2
"Sapphire Beach"	"45/94 Solitary Islands Wy"	1	"Unit"	230000	""	un_known
"Seaforth"	"14/33 Ethel St"	3	"Unit"	1960000	"https://www.realestate.com.au/126840458"	8.8
"Seaforth"	"139 Seaforth Cr"	4	"House"		"https://www.realestate.com.au/126631402"	8.8
"Seaforth"	"5 Fromelles Av"	5	"House"		"https://www.realestate.com.au/126793346"	8.8
"Seaforth"	"22 Alan Av"	3	"House"	3280000	"https://www.realestate.com.au/126695390"	8.8
"Sefton"	"28 Kara St"	6	"House"	1220000	"https://www.realestate.com.au/126818338"	18.2
"Seven Hills"	"10 Carter St"	2	"House"	867500	"https://www.realestate.com.au/126826914"	27.2
"Shellharbour"	"22 Wollongong St"	4	"House"	1075000	"https://www.realestate.com.au/126813902"	113
"Shoal Bay"	"14 Shoal Bay Av"	4	"House"	680000	""	un_known
"Shoal Bay"	"4/3 Joleen Cr"	3	"Unit"	835000	"https://www.realestate.com.au/126693858"	un_known
"Shoal Bay"	"10/83 Ronald Av"	2	"Unit"	425000	"https://www.realestate.com.au/125617434"	un_known
"Smithfield"	"20 Rosford St"	4	"House"	760000	"https://www.realestate.com.au/126799814"	24.7
"Smithfield"	"46 Bourke St"	4	"House"	733000	"https://www.realestate.com.au/126819126"	24.7
"South Coogee"	"18 Denning St"	5	"House"		"https://www.realestate.com.au/126783434"	8.4
"South Coogee"	"9 Grevillea Pl"	3	"House"	1865000	"https://www.realestate.com.au/126834366"	8.4
"South Grafton"	"7 Riverview St"	3	"House"	248000	"https://www.realestate.com.au/111856311"	un_known
"South Grafton"	"13 Blanch Pde"	3	"House"		""	un_known
"South Grafton"	"33 Moorhead Dr"	4	"House"		"https://www.realestate.com.au/126790182"	un_known
"South Grafton"	"94 Tyson St"	4	"House"		"https://www.realestate.com.au/126780206"	un_known
"South Granville"	"33 Miller St"	4	"House"	735500	"https://www.realestate.com.au/126813038"	18.6
"South Hurstville"	"26 Blakesley Rd"	3	"House"	1000000	"https://www.realestate.com.au/126834670"	15.5
"South Penrith"	"13 Tukara Rd"	3	"House"	785000	"https://www.realestate.com.au/126784146"	47.8
"South Tamworth"	"66 Garden St"	3	"House"		"https://www.realestate.com.au/126752166"	un_known
"South Turramurra"	"6 Paroo Pl"	5	"House"	1850000	"https://www.realestate.com.au/126779454"	16
"South Wentworthville"	"1 Dracic St"	2	"House"		"https://www.realestate.com.au/126823970"	22.5
"St Ives"	"7 Toolang Rd"	4	"House"		"https://www.realestate.com.au/126860838"	15.8
"St Ives"	"31 Collins Rd"	4	"House"	2133000	"https://www.realestate.com.au/126693486"	15.8
"St Ives"	"46 Benaroon Av"	4	"House"		"https://www.realestate.com.au/126794026"	15.8
"St Ives"	"3 Matthew Cl"	5	"House"	4028000	"https://www.realestate.com.au/126793894"	15.8
"St Ives"	"38A Mudies Rd"	3	"House"	1400000	"https://www.realestate.com.au/126748362"	15.8
"St Ives"	"5 Monterey St"	5	"House"		"https://www.realestate.com.au/126803418"	15.8
"St Ives"	"3 Luton Pl"	4	"House"		"https://www.realestate.com.au/126792874"	15.8
"St Ives"	"79 Kitchener St"	4	"House"	1650000	"https://www.realestate.com.au/126849490"	15.8
"St Ives"	"401/36 Stanley St"	3	"Unit"	1207000	"https://www.realestate.com.au/126790494"	15.8
"St Ives"	"404/1 Sturt Pl"	3	"Unit"		"https://www.realestate.com.au/126853234"	15.8
"St Ives"	"27 Alvona Av"	4	"House"		"https://www.realestate.com.au/126785546"	15.8
"St Ives Chase"	"5 Ellery Cl"	4	"House"		"https://www.realestate.com.au/126842434"	18.2
"St Johns Park"	"25 Footscray St"	4	"House"	850000	"https://www.realestate.com.au/126812662"	27.9
"St Leonards"	"2706/1 Sergeants La"	7	"Unit"	1400000	"https://www.realestate.com.au/126859146"	5
"St Leonards"	"214/34 Oxley St"	2	"Unit"		"https://www.realestate.com.au/126779586"	5
"Stanmore"	"89 Albany Rd"	3	"House"		"https://www.realestate.com.au/126792354"	5.1
"Stanmore"	"47 Stanmore Rd"	3	"Unit"		""	5.1
"Stanmore"	"5 Douglas St"	3	"House"	1600000	"https://www.realestate.com.au/126819118"	5.1
"Stanmore"	"55 Cardigan St"	3	"House"		"https://www.realestate.com.au/126918850"	5.1
"Strathfield"	"7 Merley Rd"	5	"House"	3260000	"https://www.realestate.com.au/126824014"	10.5
