"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"
"CARLINGFORD"	"21 Mulyan Av"	4	"House"	Passed In	"https://www.domain.com.au/21-mulyan-avenue-carlingford-nsw-2118-2013816089"
"CASTLE COVE"	"31 Neerim Rd"	4	"House"	2750.0	"https://www.domain.com.au/31-neerim-road-castle-cove-nsw-2069-2013837358"
"CASTLE HILL"	"18 Arlington Av"	4	"House"	1590.159	"https://www.domain.com.au/18-arlington-avenue-castle-hill-nsw-2154-2013857827"
"CASTLE HILL"	"171 Excelsior Av"	3	"House"	1220.0	"https://www.domain.com.au/171-excelsior-avenue-castle-hill-nsw-2154-2013857826"
"CASTLE HILL"	"28 San Giorgio Cct"	4	"House"	1300.0	"https://www.domain.com.au/28-san-giorgio-circuit-castle-hill-nsw-2154-2013845914"
"CASTLE HILL"	"33 Timothy Av"	5	"House"	1620.0	"https://www.domain.com.au/33-timothy-avenue-castle-hill-nsw-2154-2013848378"
"CECIL HILLS"	"16 Athlone St"	4	"House"	773.5	"https://www.domain.com.au/16-athlone-street-cecil-hills-nsw-2171-2013842907"
"CHERRYBROOK"	"1/44 Bowen Cl"	3	"Semi"	1000.0	"https://www.domain.com.au/1-44-bowen-close-cherrybrook-nsw-2126-2013848247"
"CHERRYBROOK"	"20 Tallowwood Av"	4	"House"	1462.5	"https://www.domain.com.au/20-tallowwood-ave-cherrybrook-nsw-2126-2013850107"
"CHERRYBROOK"	"16 Wyllie Pl"	6	"House"	1618.0	"https://www.domain.com.au/16-wyllie-place-cherrybrook-nsw-2126-2013567537"
"CHERRYBROOK"	"47 Yanderra Gr"	4	"House"	1700.0	"https://www.domain.com.au/47-yanderra-grove-cherrybrook-nsw-2126-2013857384"
"CHIFLEY"	"23 Lasseter Av"	2	"House"	1875.0	"https://www.domain.com.au/23-lasseter-avenue-chifley-nsw-2036-2013847554"
"CLARENDON"	"210 Hawkesbury Valley Wy"	5	"House"	Withdrawn	"https://www.domain.com.au/210-hawkesbury-valley-way-clarendon-nsw-2756-2013850469"
"COLLAROY"	"17/4 Ramsay St"	2	"Unit"	795.0	"https://www.domain.com.au/17-4-ramsay-street-collaroy-nsw-2097-2013848320"
"CONCORD"	"6/91-93 Burwood Rd"	2	"Unit"	784.0	"https://www.domain.com.au/6-91-93-burwood-road-concord-nsw-2137-2013851915"
"CONCORD"	"104 Davidson Av"	3	"House"	2000.0	"https://www.domain.com.au/104-davidson-avenue-concord-nsw-2137-2013847743"
"CONCORD"	"3 Thornleigh Av"	2	"House"	Passed In	"https://www.domain.com.au/3-thornleigh-avenue-concord-nsw-2137-2013845217"
"CONCORD"	"13 Watkin St"	3	"House"	1630.0	"https://www.domain.com.au/13-watkin-street-concord-nsw-2137-2013821754"
"CONCORD WEST"	"322 Concord Rd"	4	"House"	1865.0	"https://www.domain.com.au/322-concord-road-concord-west-nsw-2138-2013831763"
"CONCORD WEST"	"21 Merville St"	3	"House"	2220.0	"https://www.domain.com.au/21-merville-street-concord-west-nsw-2138-2013853544"
"CONCORD WEST"	"5/74A Queen St"	2	"Unit"	533.0	"https://www.domain.com.au/5-74a-queen-street-concord-west-nsw-2138-2013828322"
"CONCORD WEST"	"47 Wilga St"	3	"House"	1990.0	"https://www.domain.com.au/47-wilga-street-concord-west-nsw-2138-2013830126"
"CONDELL PARK"	"30 Norman St"	2	"House"	970.0	"https://www.domain.com.au/30-norman-street-condell-park-nsw-2200-2013850249"
"CONNELLS POINT"	"261 Connells Point Rd"	4	"House"	Passed In	"https://www.domain.com.au/261-connells-point-road-connells-point-nsw-2221-2013841924"
"COOGEE"	"7/3 Dundas St"	2	"Unit"	1430.0	"https://www.domain.com.au/7-3-dundas-street-coogee-nsw-2034-2013853650"
"COOGEE"	"14/3 Nathan St"	2	"Unit"	893.0	"https://www.domain.com.au/14-3-nathan-street-coogee-nsw-2034-2013851495"
"COOGEE"	"121 Oberon St"	4	"House"	3415.0	"https://www.domain.com.au/121-oberon-street-coogee-nsw-2034-2013862835"
