GREGORY HILLS,,59
Greta,,183
Greystanes,2145,24
Griffith,,574
Guildford,2161,20.5
Guildford West,2161,21.8
Gunderman,2775,49.9
Gunnedah,,437
Gymea,2227,21.6
Gymea Bay,2227,23
Haberfield,2045,6.5
Hamilton South,,166
HAMLYN TERRACE,,110
Hammondville,2170,25.1
Harbord,2096,12.2
Hardys Bay,2257,40.5
Harrington Park,2567,46.3
Harris Park,2150,19
Hassall Grove,2761,37.5
Hay,,1000
Haymarket,2000,1.6
Heathcote,2233,29.8
Hebersham,2770,38.1
Heckenberg,2168,29.7
Helensburgh,2508,41.5
Henley,2111,7.1
Hillsdale,2036,9.8
Hinchinbrook,2168,32.2
Hmas Kuttabul,2011,1.7
Hmas Rushcutters,2027,2.7
Hmas Waterhen,2060,3.2
Hmas Watson,2030,7.6
Holroyd,2142,20.2
Holsworthy,2173,25.5
Homebush,2140,11.6
Homebush Bay,2127,12.2
Homebush West,2140,12.7
Horningsea Park,2171,34.7
Hornsby,2077,20.6
Hornsby Heights,2077,24.2
Horsfield Bay,2256,42.4
Horsley Park,2175,33.4
Hoxton Park,2171,32.9
Hungerford,2840,29
Hunters Hill,2110,6.3
Huntingwood,2148,31.2
Huntleys Cove,2111,6.5
Huntleys Point,2111,6.4
Hurlstone Park,2193,8.4
Hurstville,2220,14.7
Hurstville Grove,2220,16.5
Illawong,2234,21
Ingleburn,2565,34.7
Ingleside,2101,21.1
Jannali,2226,21.2
Kangaroo Point,2224,17.8
Kareela,2232,20
Kariong,2250,48.2
Kearns,2558,41
Keiraville,,92
Kellyville,2155,28.7
Kellyville Ridge,2155,31.7
Kemps Creek,2178,38.5
Kensington,2033,4.9
Kenthurst,2156,29.6
Kentlyn,2560,39.6
Kiama Downs,,127
Killara,2071,12
Killarney Heights,2087,10.4
Killcare,2257,40.6
Killcare Heights,2257,41.2
Kincumber,2251,47.3
Kincumber South,2251,45.2
Kings Langley,2147,29.7
Kings Park,2148,31
Kingsford,2032,6.7
Kingsgrove,2208,12.8
Kingswood,2747,46.5
Kirkham,2570,49.1
Kirrawee,2232,22.4
Kirribilli,2061,2.4
Kogarah,2217,12.7
Kogarah Bay,2217,14.7
Koolewong,2256,45.7
Kotara,,162
Kurnell,2231,17.7
Kurraba Point,,6.6
Kyeemagh,2216,10.3
Kyle Bay,2221,17.1
La Perouse,2036,13.8
Lakemba,2195,13.5
Lalor Park,2147,28.1
Lane Cove,2066,6.8
Lane Cove North,2066,7.4
Lane Cove West,2066,8.4
Lansdowne,2163,22
Lansvale,2166,23.7
Largs,,174
Lavender Bay,2060,2.7
Lawrence,,653
Leichhardt,2040,5
Leppington,2179,37.6
Lethbridge Park,2770,40.3
Leumeah,2560,40.1
Lewisham,2049,6.6
Liberty Grove,2138,11.8
Lidcombe,2141,15.1
Lilli Pilli,2229,24.1
Lilyfield,2040,3.9
Lilyvale,2508,38.1
Lindfield,2070,10.7
Linley Point,2066,7
Lismore,,744
Little Bay,2036,13.1
Little Wobby,2256,35.7
Liverpool,2170,26.9
Liverpool South,2170,28.7
Llandilo,2747,45.2
Loftus,2232,24.7
Londonderry,2753,50
Long Point,2564,32.9
Longueville,2066,5.4
Lovett Bay,2105,26.4
Lucas Heights,2234,28.5
Luddenham,2745,47.5
Lugarno,2210,19.6
Lurnea,2170,29.6
Macarthur Square,2560,39.6
Macmasters Beach,2251,45.9
Macquarie Fields,2564,32.9
Macquarie Links,2565,33.8
Macquarie Park,2113,11.8
Maianbar,2230,24.9
Malabar,2036,11.5
Mangerton,,95
Manly,2095,10.8
Manly Vale,2093,10.8
Maraylya,2765,42.1
Marayong,2148,31.5
Marlow,2775,44.7
